index,brand,id,name,num_reviews,rating,total_stars,bayesian_est
/benefiance-wrinkleresist24-intensive-eye-contour-cream-P173620,Shiseido,P173620,Benefiance WrinkleResist24 Intensive Eye Contour Cream,1342,4.3234,5802.0028,4.31361153846
/renew-hydrate-eye-cream-P293902,bareMinerals,P293902,Renew & Hydrate Eye Cream,1362,4.2878,5839.9836,4.27841370262
/all-about-eyes-rich-P174502,CLINIQUE,P174502,All About Eyes™ Rich,1168,4.2226,4931.9968,4.21222139219
/mega-rich-intensive-anti-aging-cellular-eye-creme-P116610,Peter Thomas Roth,P116610,Mega Rich Intensive Anti-Aging Cellular Eye Creme,203,4.2463,861.9989,4.18778826291
/hope-in-a-tube-eye-lip-cream-P12090,philosophy,P12090,Hope In A Tube Eye & Lip Cream,713,4.1935,2989.9655,4.17699239281
/rose-hydrating-eye-gel-cream-P386741,Fresh,P386741,Rose Hydrating Eye Gel Cream,251,4.1992,1053.9992,4.15325363985
/premier-cru-the-eye-cream-P280104,Caudalie,P280104,Premier Cru The Eye Cream,357,4.1653,1487.0121,4.1335479564
/super-restorative-total-eye-concentrate-P95040,Clarins,P95040,Super Restorative Total Eye Concentrate,142,4.2042,596.9964,4.12497631579
/immortelle-eye-balm-P39912,L'Occitane,P39912,Immortelle Eye Balm,197,4.1777,823.0069,4.12080628019
/hydrating-eye-cream-P270544,Bobbi Brown,P270544,Hydrating Eye Cream,270,4.1556,1122.012,4.11432857143
/repairwear-anti-gravity-eye-lift-cream-P122727,CLINIQUE,P122727,Repairwear Anti-Gravity Eye Lift Cream,230,4.1609,957.007,4.11252916667
/creme-ancienne-eye-cream-P268416,Fresh,P268416,Crème Ancienne Eye Cream,71,4.2676,302.9996,4.11110617284
/hypoallergenic-firming-eye-cream-P294204,Perricone MD,P294204,Hypoallergenic Firming Eye Cream,160,4.175,668.0,4.10588235294
/fresh-start-eye-creme-P42326,Ole Henriksen,P42326,Fresh Start Eye Creme,305,4.1311,1259.9855,4.09519206349
/all-about-eyes-P122774,CLINIQUE,P122774,All About Eyes,1366,4.0842,5579.0172,4.07632063953
/complete-eye-renewal-balm-P282938,Algenist,P282938,Complete Eye Renewal Balm,480,4.075,1956.0,4.05306122449
/hydra-life-bb-eye-creme-P378900,Dior,P378900,Hydra Life BB Eye Crème,114,4.1404,472.0056,4.04843225806
/extra-eye-repair-cream-P270600,Bobbi Brown,P270600,Extra Eye Repair Cream,82,4.1707,341.9974,4.04345
/sun-protection-eye-cream-broad-spectrum-spf-34-sunscreen-P384788,Shiseido,P384788,Sun Protection Eye Cream Broad Spectrum SPF 34 Sunscreen,22,4.5,99.0,4.03125
/renewing-eye-cream-P107306,Murad,P107306,Renewing Eye Cream,154,4.0974,630.9996,4.03048536585
/eye-doctor-moisture-care-for-skin-around-eyes-P297531,Origins,P297531,Eye Doctor™ Moisture Care For Skin Around Eyes,258,4.0698,1050.0084,4.02988208955
/hydra-life-pro-youth-sorbet-eye-creme-P259406,Dior,P259406,Hydra Life Pro-Youth Sorbet Eye Crème,196,4.0765,798.994,4.02424271845
/do-not-age-with-dr-brandt-triple-peptide-eye-cream-P383053,Dr. Brandt Skincare,P383053,Do Not Age with Dr. Brandt Triple Peptide Eye Cream,75,4.16,312.0,4.02352941176
/high-performance-continuous-moisture-eye-cream-P72706,Anthony,P72706,High Performance Continuous Moisture Eye Cream,34,4.3235,146.999,4.02270454545
/eye-duty-triple-remedy-brighten-depuff-smooth-P385329,First Aid Beauty,P385329,"Eye Duty Triple Remedy: Brighten, Depuff and Smooth",359,4.0362,1448.9958,4.00811869919
/future-solution-lx-eye-lip-contour-regenerating-cream-P277505,Shiseido,P277505,Future Solution LX Eye and Lip Contour Regenerating Cream,50,4.2,210.0,4.0
/maracuja-c-brighter-eye-treatment-P377545,tarte,P377545,Maracuja C-Brighter™ Eye Treatment,444,4.0225,1785.99,3.99997797357
/purely-age-defying-eye-cream-P224520,Jurlique,P224520,Purely Age-Defying Eye Cream,76,4.1184,312.9984,3.98835348837
/plantscription-anti-aging-power-eye-cream-P394702,Origins,P394702,Plantscription™ Anti-Aging Power Eye Cream,54,4.1667,225.0018,3.984403125
/eye-dew-total-eye-cream-P400250,Farmacy,P400250,Eye Dew Total Eye Cream,22,4.4091,97.0002,3.96875625
/hydra-pure-firming-eye-cream-P184115,Dr. Dennis Gross Skincare,P184115,Hydra-Pure® Firming Eye Cream,42,4.1905,176.001,3.96155769231
/total-age-defy-cream-for-eyes-lips-P393280,SEPHORA COLLECTION,P393280,Total Age Defy Cream for Eyes & Lips,64,4.0938,262.0032,3.94598918919
/hydro-dynamic-ultimate-moisture-for-eyes-P293206,Murad,P293206,Hydro-Dynamic® Ultimate Moisture For Eyes,61,4.082,249.002,3.9296056338
/ultimate-lift-eye-creme-P399110,Ole Henriksen,P399110,Ultimate Lift Eye Crème,43,4.1395,177.9985,3.9245
